"author","degree","wdegree","betweenness","eigenvector","community","primary_neighbor_MaxW","primary_neighbors"
"Kanninen Katja",23,534,0.000312951436755039,0.0033188489553255,6,"Malm Tarja","Malm Tarja, Koistinaho Jari, Tavi Pasi, Yla Herttuala, Haapasalo Annakaisa, Kaikkonen-Määttä Minna, Rinne Juha, Pirinen Matti, Hiltunen Mikko, Ollikainen Miina, Vapalahti Olli, Myllyharju Johanna, Pihlajaniemi Taina, Hovatta Iiris, Huttunen Kristiina, Leinonen Ville"
"Kantele Anu",22,402,9.50711928467364e-05,0.0102903406951866,9,"Vapalahti Olli","Vapalahti Olli, Kakkola Laura, Lempainen Johanna, Kekäläinen Eliisa, Sironen Tarja, Huhtamo Eili, Sajantila Antti, Aittokallio Tero, Carpen Olli, Söderlund-Venermo Maria, Jalkanen Sirpa, Salmi Marko, Meri Seppo"
"Kastaniotis Alexander",3,44,0.00896485275019899,2.04626323013393e-06,7,"Autio Kaija","Autio Kaija, Haapalainen Antti"
"Katajisto Pekka",31,220,0.0148767934224136,0.0104134483986027,5,"Ristimäki Ari","Hietakangas Ville, Ristimäki Ari, Pietiläinen Kirsi, Otonkoski Timo, Vaahtomeri Kari, Brenner Charles, Groop Per-Henrik, Ollikainen Miina, Tyynismaa Henna, Varjosalo Markku, Aaltonen Lauri, Butcher Sarah, Mattila Jaakko, Vapalahti Olli, Alitalo Kari, Haglund Caj, Najumudeen Arafath, Carpen Olli, Haapasalo Annakaisa, Kaikkonen-Määttä Minna, Aittokallio Tero, Andressoo Jaan-Olle, Ivaska Johanna, Izzi Valerio, Paavilainen Ville"
"Kaukinen Katri",16,294,0.0111200063254858,0.0236273920866684,12,"Lindfors Katri","Lindfors Katri, Kere Juha, Pörsti Ilkka, Roivainen Anne, Hyöty Heikki, Lohi Olli, Palotie Aarno, Nykter Matti, Aalto-Setälä Katriina, Knip Mikael, Lempainen Johanna, Tikkinen Kari, Visakorpi Tapio"
"Kauppi Liisa",15,788,0.00111778206851727,0.0606070916345219,10,"Carpen Olli","Hautaniemi Sampsa, Carpen Olli, Vähärautio Anna, Kekäläinen Eliisa, Leppä Sirpa, Kotaja Noora, Mustjoki Satu, Toppari Jorma, Aaltonen Lauri, Tyynismaa Henna, Kilpivaara Outi, Sajantila Antti"
"Kekäläinen Eliisa",26,326,0.0102286411636669,0.00960995943452612,10,"Hautaniemi Sampsa","Vapalahti Olli, Hautaniemi Sampsa, Vähärautio Anna, Kantele Anu, Kauppi Liisa, Sironen Tarja, Mäkitie Outi, Tienari Pentti, Carpen Olli, Sajantila Antti, Ilonen Ilkka, Söderlund-Venermo Maria, Meri Seppo, Elo Laura, Skrifvars Markus, Varjosalo Markku, Hyvärinen Kati, Ritari Jarmo, Cerullo Vincenzo, Mustjoki Satu"
"Kere Juha",79,866,0.0418764154798464,0.0423361833811564,11,"Lohi Hannes","Kajantie Eero, Varjosalo Markku, Lohi Hannes, Sajantila Antti, Otonkoski Timo, Knip Mikael, Mustjoki Satu, Tapanainen Juha, Vuoristo Sanna, Lahesmaa Riitta, Meri Seppo, Palotie Aarno, Hyöty Heikki, Sahu Biswajyoti, Aaltonen Lauri, Haapasalo-Tuomainen Karita, Lehtonen Sanna, Hautala Timo, Kaukinen Katri, Toppari Jorma, Carpen Olli, Schleutker Johanna, Haglund Caj, Hovatta Iiris, Lundin Johan, Lehesjoki Anna-Elina, Peltomäki Päivi, Renvall Hanna, Laakso Markku, Lempainen Johanna, Mäkitie Outi, Skottman Heli, Alitalo Kari, Cerullo Vincenzo, Joensuu Heikki, Junttila Juhani, Kähäri Veli-Matti, Pirinen Matti, Turunen Joni, Groop Per-Henrik, Mikkola Marja, Saraste Antti, Wartiovaara-Kautto Ulla, Aittokallio Tero, Lindfors Katri, Ollikainen Miina, Poutanen Matti, Saarma Mart, Wei Gonghong, Hallman Mikko, Ikonen Elina, Jernvall Jukka, Kallijärvi Jukka, Lindsberg Perttu, Ojala Tiina"
"Kerkelä Risto",17,172,0.000712895667024107,0.00240641317836839,6,"Koivunen Peppi","Junttila Juhani, Koivunen Peppi, Alitalo Kari, Eklund Lauri, Myllyharju Johanna, Kivelä Riikka, Pihlajaniemi Taina, Hautala Timo, Tavi Pasi, Izzi Valerio, Aittokallio Tero"
"Ketola Kirsi",47,1195,0.00343326747122147,0.17052921284086,5,"Mustjoki Satu","Mustjoki Satu, Boström Peter, Taimen Pekka, Pellinen Teijo, Auvinen Anssi, Tammela Teuvo, Lundin Johan, Visakorpi Tapio, Aittokallio Tero, Ivaska Johanna, Westermarck Jukka, Nykter Matti, Joensuu Heikki, Ristimäki Ari, Saharinen Pipsa, Heckman Caroline, Elo Laura, Lehtonen Sanna, Rautajoki Kirsi, Pietiläinen Kirsi, Ruusuvuori Pekka, Alitalo Kari, Groop Per-Henrik, Jalkanen Sirpa, Ungureanu Daniela, Sistonen Lea, Heino Jyrki, Pörsti Ilkka, Hautaniemi Sampsa, Oksala Niku, Sahu Biswajyoti, Schleutker Johanna, Haikala Heidi, Kotaja Noora, Kähäri Veli-Matti, Mäkitie Antti"
"Kilpivaara Outi",31,826,0.00121113950446614,0.251687793561992,2,"Aaltonen Lauri","Aaltonen Lauri, Auvinen Anssi, Schleutker Johanna, Tammela Teuvo, Visakorpi Tapio, Wartiovaara-Kautto Ulla, Ristimäki Ari, Heckman Caroline, Seppälä Toni, Sahu Biswajyoti, Vähärautio Anna, Varjosalo Markku, Hyvärinen Kati, Ritari Jarmo, Leppä Sirpa, Palotie Aarno, Kontro Mika, Peltomäki Päivi, Hautala Timo, Hautaniemi Sampsa, Junttila Juhani, Haglund Caj, Kauppi Liisa, Lohi Olli, Meri Seppo"
