"id","name","display_name","works_count"
"https://openalex.org/A5012008888","Pakarinen Mikko","Mikko P. Pakarinen",431
"https://openalex.org/A5028918055","Ungureanu Daniela","Daniela Ungureanu",83
"https://openalex.org/A5031007847","Pellinen Teijo","Teijo Pellinen",234
"https://openalex.org/A5065810893","Urtti Arto","Arto Urtti",505
"https://openalex.org/A5017226176","Peltomäki Päivi","Païvi Peltomäki",295
"https://openalex.org/A5023869007","Vapalahti Olli","Olli Vapalahti",705
"https://openalex.org/A5042972397","Huhtamo Eili","Eili Huhtamo",62
"https://openalex.org/A5047549223","Pietiläinen Kirsi","Kirsi H. Pietiläinen",429
"https://openalex.org/A5053950173","Vuoristo Sanna","Sanna Vuoristo",30
"https://openalex.org/A5085070599","Piltonen Terhi","Terhi Piltonen",281
"https://openalex.org/A5028953583","Yki-Järvinen Hannele","Hannele Yki‐Järvinen",544
"https://openalex.org/A5064582174","Pirinen Matti","Matti Pirinen",303
"https://openalex.org/A5014220812","Yla Herttuala","Seppo Ylä‐Herttuala",1094
"https://openalex.org/A5064220321","Poutanen Matti","Matti Poutanen",404
"https://openalex.org/A5056964352","Pörsti Ilkka","Ilkka Pörsti",277
"https://openalex.org/A5091230903","Rantakari Pia","Pia Rantakari",87
"https://openalex.org/A5040169342","Rantamäki Tomi","Tomi Rantamäki",113
"https://openalex.org/A5070740355","Rautajoki Kirsi","Kirsi J. Rautajoki",51
"https://openalex.org/A5013226294","Renvall Hanna","Hanna Renvall",72
"https://openalex.org/A5049950699","Ristimäki Ari","Ari Ristimäki",392
"https://openalex.org/A5089033830","Ruusuvuori Pekka","Pekka Ruusuvuori",175
"https://openalex.org/A5013709767","Rämet Mika","Mika Rämet",174
"https://openalex.org/A5017711019","Räsänen Esa","E. Räsänen",202
"https://openalex.org/A5071275238","Saarakkala Simo","Simo Saarakkala",455
"https://openalex.org/A5052919345","Saharinen Pipsa","Pipsa Saharinen",112
"https://openalex.org/A5067387478","Sahu Biswajyoti","Biswajyoti Sahu",82
"https://openalex.org/A5086841100","Sajantila Antti","Antti Sajantila",346
"https://openalex.org/A5079691994","Salmi Marko","Marko Salmi",351
"https://openalex.org/A5054663921","Sandholm-Lafferre Niina","Niina Sandholm",189
"https://openalex.org/A5025610737","Groop Per-Henrik","Per‐Henrik Groop",911
"https://openalex.org/A5100750802","Sharma Vivek","Vivek Sharma",450
"https://openalex.org/A5007027974","Sistonen Lea","Lea Sistonen",179
"https://openalex.org/A5049282261","Skottman Heli","Heli Skottman",206
"https://openalex.org/A5077555252","Skrifvars Markus","Markus B. Skrifvars",360
"https://openalex.org/A5031905211","Söderlund-Venermo Maria","Maria Söderlund‐Venermo",206
"https://openalex.org/A5050153046","Taimen Pekka","Pekka Taimen",209
"https://openalex.org/A5009732804","Tapanainen Juha","Juha S. Tapanainen",314
"https://openalex.org/A5006946705","Tasanen-Määttä Kaisa","Kaisa Tasanen-Määttä",5
"https://openalex.org/A5081578056","Tavi Pasi","Pasi Tavi",116
"https://openalex.org/A5073438832","Tienari Pentti","Pentti J. Tienari",256
"https://openalex.org/A5044096483","Tikkinen Kari","Kari A.O. Tikkinen",254
"https://openalex.org/A5021572716","Tohka Jussi","Jussi Tohka",235
"https://openalex.org/A5025493981","Kälviäinen Reetta","Reetta Kälviäinen",331
"https://openalex.org/A5062380188","Tuomi Tiinamaija","D. Mort",18
"https://openalex.org/A5007174377","Vaahtomeri Kari","Kari Vaahtomeri",40
"https://openalex.org/A5032026142","Vanhatalo Sampsa","Sampsa Vanhatalo",328
"https://openalex.org/A5088559880","Varjosalo Markku","Markku Varjosalo",365
"https://openalex.org/A5082983574","Vattulainen Ilpo","Ilpo Vattulainen",546
"https://openalex.org/A5065855094","Virtanen Kirsi","Kirsi A. Virtanen",184
"https://openalex.org/A5085775392","Visakorpi Tapio","Tapio Visakorpi",566
"https://openalex.org/A5010898795","Voutilainen Merja","Merja H. Voutilainen",64
"https://openalex.org/A5076351886","Vähärautio Anna","Anna Vähärautio",159
"https://openalex.org/A5061096092","Wartiovaara Anu","Anu Suomalainen",302
"https://openalex.org/A5005807434","Wei Gonghong","Gong‐Hong Wei",181
"https://openalex.org/A5008528112","Westermarck Jukka","Jukka Westermarck",323
"https://openalex.org/A5077371642","Kakkola Laura","Laura Kakkola",97
"https://openalex.org/A5063620391","Afara Isaac","Isaac O. Afara",142
"https://openalex.org/A5119074337","Aalto-Setälä Katriina","Aalto-Setälä Katriina",1
"https://openalex.org/A5123251412","Airas Laura","Laura Airas",2
"https://openalex.org/A5063620391","Afara Isaac","Isaac O. Afara",142
"https://openalex.org/A5027482380","Aalto-Setälä Katriina","Katriina Aalto‐Setälä",239
"https://openalex.org/A5039370243","Airas Laura","Laura Airas",196
"https://openalex.org/A5028725974","Aaltonen Lauri","Lauri A. Aaltonen",661
"https://openalex.org/A5023660858","Alitalo Kari","Kari Alitalo",1087
"https://openalex.org/A5037106945","Airavaara Mikko","Mikko Airavaara",127
"https://openalex.org/A5029422912","Auvinen Anssi","Anssi Auvinen",866
"https://openalex.org/A5016681267","Aittokallio Tero","Tero Aittokallio",644
"https://openalex.org/A5074407016","Belogurov Georgi","Georgiy A. Belogurov",54
"https://openalex.org/A5078073418","Ala-Korpela Mika","Mika Ala‐Korpela",486
"https://openalex.org/A5075486416","Brenner Charles","Charles Brenner",468
"https://openalex.org/A5073441975","Andressoo Jaan-Olle","Jaan‐Olle Andressoo",86
"https://openalex.org/A5030148031","Carpen Olli","Olli Carpén",459
"https://openalex.org/A5004624020","Ashorn Per","Per Ashorn",451
"https://openalex.org/A5017096947","Backman Janne","Janne T. Backman",269
"https://openalex.org/A5035745920","Eklund Lauri","Lauri Eklund",123
"https://openalex.org/A5031840988","Barboric Matjaz","Matjaž Barborič",34
"https://openalex.org/A5075680116","Elenius Klaus","Klaus Elenius",205
"https://openalex.org/A5088342842","Boström Peter","Peter J. Boström",325
"https://openalex.org/A5062339398","Elo Laura","Laura L. Elo",297
"https://openalex.org/A5026617852","Butcher Sarah","Sarah J. Butcher",203
"https://openalex.org/A5035567894","Eriksson John","John Eriksson",301
"https://openalex.org/A5031533220","Cerullo Vincenzo","Vincenzo Cerullo",334
"https://openalex.org/A5019123072","Haapasalo-Tuomainen Karita","Karita Haapasalo",52
"https://openalex.org/A5023872545","Di-Poi Nicolas","Nicolas Di-Poı̈",60
"https://openalex.org/A5055369999","Haglund Caj","Caj Haglund",583
"https://openalex.org/A5040917201","Frilander Mikko","Mikko J. Frilander",91
"https://openalex.org/A5086660425","Haikala Heidi","Heidi M. Haikala",97
"https://openalex.org/A5073500794","Ganna Andrea","Andrea Ganna",307
"https://openalex.org/A5013185546","He Qiushui","Qiushui He",285
"https://openalex.org/A5016371743","Haapasalo Annakaisa","Annakaisa Haapasalo",179
"https://openalex.org/A5061939140","Heckman Caroline","Caroline A. Heckman",441
"https://openalex.org/A5014179994","Hallman Mikko","Mikko Hallman",489
